OrderID,CustomerID, ProductCategory, ProductPrice,Quantity,DiscountPercent,PaymentMethod,OrderStatus,City,OrderDate,TotalAmount,DiscountAmount,FinalAmount,Month,Year
100001,4174,Beauty,2036,3,5,Debit Card,Delivered,Pune,2023-01-01,6108,305.4,5802.6,1,2023
100002,4507,Sports,4456,3,20,Cash,Cancelled,Mumbai,2023-01-02,13368,2673.6,10694.4,1,2023
100003,1860,Beauty,2648,4,0,Debit Card,Delivered,Chennai,2023-01-03,10592,0.0,10592.0,1,2023
100004,2294,Sports,4493,2,0,Debit Card,Delivered,Mumbai,2023-01-04,8986,0.0,8986.0,1,2023
100005,2130,Sports,1483,9,10,Debit Card,Cancelled,Chennai,2023-01-05,13347,1334.7,12012.3,1,2023
100006,2095,Sports,859,7,5,UPI,Returned,Chennai,2023-01-06,6013,300.65,5712.35,1,2023
100007,4772,Beauty,2210,7,10,Credit Card,Cancelled,Bangalore,2023-01-07,15470,1547.0,13923.0,1,2023
100008,4092,Beauty,598,6,5,UPI,Delivered,Bangalore,2023-01-08,3588,179.4,3408.6,1,2023
100009,2638,Sports,1933,3,15,Credit Card,Cancelled,Delhi,2023-01-09,5799,869.85,4929.15,1,2023
100010,3169,Clothing,2325,6,10,UPI,Delivered,Delhi,2023-01-10,13950,1395.0,12555.0,1,2023
100011,1466,Home,2371,8,10,Cash,Delivered,Chennai,2023-01-11,18968,1896.8,17071.2,1,2023
100012,2238,Home,274,8,20,Cash,Cancelled,Mumbai,2023-01-12,2192,438.4,1753.6,1,2023
100013,1330,Home,4897,9,10,Debit Card,Delivered,Pune,2023-01-13,44073,4407.3,39665.7,1,2023
100014,2482,Beauty,3671,1,5,Cash,Returned,Pune,2023-01-14,3671,183.55,3487.45,1,2023
100015,3135,Beauty,1036,1,20,Debit Card,Delivered,Mumbai,2023-01-15,1036,207.2,828.8,1,2023
100016,4444,Clothing,699,3,10,Credit Card,Cancelled,Mumbai,2023-01-16,2097,209.7,1887.3,1,2023
100017,4171,Home,337,3,10,Cash,Returned,Bangalore,2023-01-17,1011,101.1,909.9,1,2023
100018,3919,Home,2297,8,15,Credit Card,Returned,Pune,2023-01-18,18376,2756.4,15619.6,1,2023
100019,4735,Sports,3896,1,10,UPI,Delivered,Chennai,2023-01-19,3896,389.6,3506.4,1,2023
100020,1130,Beauty,2085,2,0,Credit Card,Cancelled,Delhi,2023-01-20,4170,0.0,4170.0,1,2023
100021,2685,Home,2957,2,20,UPI,Delivered,Bangalore,2023-01-21,5914,1182.8,4731.2,1,2023
100022,4380,Clothing,4120,3,0,Credit Card,Delivered,Pune,2023-01-22,12360,0.0,12360.0,1,2023
100023,1769,Clothing,2100,6,20,Credit Card,Cancelled,Mumbai,2023-01-23,12600,2520.0,10080.0,1,2023
100024,3391,Home,2810,1,15,Cash,Cancelled,Pune,2023-01-24,2810,421.5,2388.5,1,2023
100025,2515,Beauty,4186,2,10,Credit Card,Delivered,Chennai,2023-01-25,8372,837.2,7534.8,1,2023
100026,4485,Clothing,1649,1,10,Cash,Returned,Bangalore,2023-01-26,1649,164.9,1484.1,1,2023
100027,3853,Sports,746,5,10,Cash,Delivered,Mumbai,2023-01-27,3730,373.0,3357.0,1,2023
100028,3433,Clothing,4876,7,20,Debit Card,Returned,Chennai,2023-01-28,34132,6826.4,27305.6,1,2023
100029,2215,Electronics,2203,8,10,Debit Card,Delivered,Delhi,2023-01-29,17624,1762.4,15861.6,1,2023
100030,1955,Electronics,2296,1,0,UPI,Cancelled,Bangalore,2023-01-30,2296,0.0,2296.0,1,2023
100031,3324,Beauty,903,7,10,Credit Card,Returned,Chennai,2023-01-31,6321,632.1,5688.9,1,2023
100032,2184,Home,2603,5,15,UPI,Cancelled,Chennai,2023-02-01,13015,1952.25,11062.75,2,2023
100033,1459,Beauty,1825,1,0,Credit Card,Cancelled,Mumbai,2023-02-02,1825,0.0,1825.0,2,2023
100034,4385,Beauty,3531,3,10,Debit Card,Cancelled,Delhi,2023-02-03,10593,1059.3,9533.7,2,2023
100035,1021,Beauty,4933,7,10,Debit Card,Cancelled,Chennai,2023-02-04,34531,3453.1,31077.9,2,2023
100036,3300,Beauty,3178,1,5,Credit Card,Cancelled,Bangalore,2023-02-05,3178,158.9,3019.1,2,2023
100037,1747,Sports,4936,7,20,Credit Card,Delivered,Chennai,2023-02-06,34552,6910.4,27641.6,2,2023
100038,3904,Sports,3039,5,0,Debit Card,Returned,Pune,2023-02-07,15195,0.0,15195.0,2,2023
100039,4632,Clothing,3584,1,5,Debit Card,Delivered,Bangalore,2023-02-08,3584,179.2,3404.8,2,2023
100040,1474,Electronics,2859,1,15,UPI,Delivered,Bangalore,2023-02-09,2859,428.85,2430.15,2,2023
100041,2082,Beauty,2061,1,20,Debit Card,Delivered,Chennai,2023-02-10,2061,412.2,1648.8,2,2023
100042,3558,Clothing,3056,9,0,Credit Card,Cancelled,Mumbai,2023-02-11,27504,0.0,27504.0,2,2023
100043,4753,Electronics,885,3,10,UPI,Delivered,Bangalore,2023-02-12,2655,265.5,2389.5,2,2023
100044,3047,Home,4483,5,0,Credit Card,Returned,Pune,2023-02-13,22415,0.0,22415.0,2,2023
100045,4547,Sports,1819,9,10,Cash,Delivered,Mumbai,2023-02-14,16371,1637.1,14733.9,2,2023
100046,3747,Electronics,4843,6,20,UPI,Cancelled,Mumbai,2023-02-15,29058,5811.6,23246.4,2,2023
100047,1975,Home,1631,9,10,Credit Card,Returned,Mumbai,2023-02-16,14679,1467.9,13211.1,2,2023
100048,2806,Electronics,1075,8,15,Debit Card,Returned,Bangalore,2023-02-17,8600,1290.0,7310.0,2,2023
100049,1189,Sports,4913,8,10,Cash,Returned,Mumbai,2023-02-18,39304,3930.4,35373.6,2,2023
100050,4005,Sports,2661,1,15,Credit Card,Returned,Chennai,2023-02-19,2661,399.15,2261.85,2,2023
100051,3734,Clothing,1565,9,20,UPI,Delivered,Mumbai,2023-02-20,14085,2817.0,11268.0,2,2023
100052,4005,Beauty,1443,6,20,Credit Card,Cancelled,Pune,2023-02-21,8658,1731.6,6926.4,2,2023
100053,1562,Electronics,362,9,0,Cash,Returned,Delhi,2023-02-22,3258,0.0,3258.0,2,2023
100054,2899,Electronics,2174,3,15,UPI,Returned,Pune,2023-02-23,6522,978.3,5543.7,2,2023
100055,4638,Home,3491,3,15,Cash,Cancelled,Bangalore,2023-02-24,10473,1570.95,8902.05,2,2023
100056,2267,Sports,469,6,5,Credit Card,Delivered,Mumbai,2023-02-25,2814,140.7,2673.3,2,2023
100057,3879,Electronics,831,9,5,Debit Card,Returned,Mumbai,2023-02-26,7479,373.95,7105.05,2,2023
100058,2528,Sports,1105,7,5,Debit Card,Delivered,Chennai,2023-02-27,7735,386.75,7348.25,2,2023
100059,4202,Electronics,3671,3,10,Credit Card,Delivered,Mumbai,2023-02-28,11013,1101.3,9911.7,2,2023
100060,4556,Clothing,3453,3,5,Credit Card,Delivered,Pune,2023-03-01,10359,517.95,9841.05,3,2023
100061,4890,Beauty,2214,2,15,Credit Card,Delivered,Bangalore,2023-03-02,4428,664.2,3763.8,3,2023
100062,1646,Electronics,1841,9,10,UPI,Returned,Delhi,2023-03-03,16569,1656.9,14912.1,3,2023
100063,3068,Sports,404,3,20,Cash,Returned,Mumbai,2023-03-04,1212,242.4,969.6,3,2023
100064,3888,Clothing,781,5,0,Cash,Delivered,Delhi,2023-03-05,3905,0.0,3905.0,3,2023
100065,3214,Electronics,1040,9,5,Cash,Delivered,Mumbai,2023-03-06,9360,468.0,8892.0,3,2023
100066,2297,Home,1919,8,20,Credit Card,Cancelled,Bangalore,2023-03-07,15352,3070.4,12281.6,3,2023
100067,3435,Beauty,2843,2,15,Cash,Cancelled,Pune,2023-03-08,5686,852.9,4833.1,3,2023
100068,1600,Electronics,2497,3,0,Credit Card,Cancelled,Bangalore,2023-03-09,7491,0.0,7491.0,3,2023
100069,3363,Clothing,1074,2,20,UPI,Returned,Delhi,2023-03-10,2148,429.6,1718.4,3,2023
100070,3061,Home,889,8,0,Debit Card,Cancelled,Mumbai,2023-03-11,7112,0.0,7112.0,3,2023
100071,1241,Clothing,4200,6,5,Credit Card,Returned,Delhi,2023-03-12,25200,1260.0,23940.0,3,2023
100072,3041,Clothing,3341,6,15,Credit Card,Returned,Pune,2023-03-13,20046,3006.9,17039.1,3,2023
100073,3824,Home,1622,9,0,Debit Card,Returned,Bangalore,2023-03-14,14598,0.0,14598.0,3,2023
100074,4417,Clothing,871,8,20,Debit Card,Returned,Delhi,2023-03-15,6968,1393.6,5574.4,3,2023
100075,3612,Home,1371,4,5,UPI,Cancelled,Delhi,2023-03-16,5484,274.2,5209.8,3,2023
100076,3945,Electronics,3926,4,5,Cash,Delivered,Pune,2023-03-17,15704,785.2,14918.8,3,2023
100077,2363,Home,1143,9,20,Credit Card,Delivered,Mumbai,2023-03-18,10287,2057.4,8229.6,3,2023
100078,3139,Home,1649,1,20,Cash,Delivered,Delhi,2023-03-19,1649,329.8,1319.2,3,2023
100079,2390,Beauty,3937,2,0,Credit Card,Cancelled,Pune,2023-03-20,7874,0.0,7874.0,3,2023
100080,4003,Home,2739,2,10,UPI,Delivered,Mumbai,2023-03-21,5478,547.8,4930.2,3,2023
100081,2478,Home,4159,6,5,Debit Card,Cancelled,Mumbai,2023-03-22,24954,1247.7,23706.3,3,2023
100082,4499,Electronics,4460,4,0,UPI,Cancelled,Bangalore,2023-03-23,17840,0.0,17840.0,3,2023
100083,3556,Beauty,2561,3,20,Debit Card,Cancelled,Pune,2023-03-24,7683,1536.6,6146.4,3,2023
100084,1775,Sports,3852,3,0,Cash,Delivered,Mumbai,2023-03-25,11556,0.0,11556.0,3,2023
100085,1034,Electronics,3870,3,20,Cash,Delivered,Bangalore,2023-03-26,11610,2322.0,9288.0,3,2023
100086,3253,Electronics,1953,6,15,UPI,Delivered,Chennai,2023-03-27,11718,1757.7,9960.3,3,2023
100087,4152,Sports,2552,8,20,Debit Card,Returned,Pune,2023-03-28,20416,4083.2,16332.8,3,2023
100088,2955,Home,2138,7,20,UPI,Cancelled,Chennai,2023-03-29,14966,2993.2,11972.8,3,2023
100089,2585,Clothing,570,4,20,Debit Card,Returned,Mumbai,2023-03-30,2280,456.0,1824.0,3,2023
100090,4943,Beauty,4679,4,10,Debit Card,Cancelled,Pune,2023-03-31,18716,1871.6,16844.4,3,2023
100091,4459,Clothing,2131,2,20,Cash,Delivered,Bangalore,2023-04-01,4262,852.4,3409.6,4,2023
100092,4073,Sports,624,1,5,Cash,Cancelled,Mumbai,2023-04-02,624,31.2,592.8,4,2023
100093,2021,Electronics,4924,9,5,Debit Card,Cancelled,Pune,2023-04-03,44316,2215.8,42100.2,4,2023
100094,4461,Electronics,1094,2,0,Debit Card,Returned,Pune,2023-04-04,2188,0.0,2188.0,4,2023
100095,3613,Beauty,797,8,10,Debit Card,Cancelled,Chennai,2023-04-05,6376,637.6,5738.4,4,2023
100096,2129,Electronics,3262,9,0,Cash,Delivered,Mumbai,2023-04-06,29358,0.0,29358.0,4,2023
100097,4843,Electronics,2536,4,5,Cash,Cancelled,Bangalore,2023-04-07,10144,507.2,9636.8,4,2023
100098,4893,Beauty,4888,8,5,Credit Card,Cancelled,Bangalore,2023-04-08,39104,1955.2,37148.8,4,2023
