clean_text,Sentiment
nice product good quality price rising bad sign affordable price especially play everyday kindly help u term price thank youread,1
didnt supplied yonex mavis outside cover yonex ad inside cheapest sad hear thisread,0
worst product damaged shuttlecock packed new box original yonex product dont buyflipkart platform chosen fraud buyersread,0
quite k nowadays quality cork like year back using mavis year quality cork good time getting quality cork like rate cork also much sorry say like experience statment true knowledgeread,1
pricedjust retaileri didnt understand wat advantage buying dis frm flipkrtread,0
good quality product delivered timeread,1
best purchase good quality durable average shuttle shipping goodread,1
good quality original shuttlesread,1
awesomeread,1
nice original productsread,1
green cap shuttlecock really awesome quality best good packingthis green cap shuttlecock played warm conditionsworth money simply loved itread,1
best classread,1
genuine price less near shopread,1
second time getting opened bundle yonex mavis shuttle really believe original product someone may switched shuttle inside bundle dont buy flipkart gonna return productread,0
really satisfied quality prompt deliveryhappy customer flipkart read,1
nycread,1
usually buy model last even dayread,0
poor quality originalread,0
delivered expected timeread,1
nice original productread,1
nice good price compare local sportsread,1
perfect go yonex never disappoint pro feather might look little cheap first glance aint like quality best bottom cork amazing play open court perfectly glide around balanced base durability seems go fine issue intermediate player using one shuttle since day con slightly higher range use lb bg racquet pread,1
superbread,1
looked like defective without balance throw read,0
genuine product reasonable pricegot r read,1
good sealed original yonex shuttlesread,1
expectedthe head portion break soondefective piecesread,0
giving star price hike please anyone suggest shuttle cork performance lower priceread,1
quality pooverread,1
good productread,1
good productread,1
received good conditionam really satisfied productbut satisfied delivery boy always coin returnit mean paying extra money item also know opportunity never coin returni really dont like kind selfishnessread,1
using found shuttle quality upto level box quality stickerread,0
local productread,0
shuttle separated base single shot poor qualityread,0
shuttle rotatingread,0
bad qualityread,0
worst quality shot ball started rotateread,0
expecting kind product flipkartread,1
one better shuttle marketgood quality reasonable priceread,1
low qualityread,0
superb quality best price thanks flipkartread,1
second quality shuttle dont buy almost torn shaped worst experience go buy shop cost around read,0
dont think genuine co checked official website yonex hologram number yet product bad job well definitely comparing one original one shop near let others know difference anyread,1
bad quality timeread,0
ive received duplicate n cheapest ball kept inside broken box done deleberately worst experience ive ever flipkart buy anything except badminton yonex mavis read,0
quality good rejected qualityread,0
green cap shuttle good indoor well outdoor play though slow speed durable thanks great dealread,1
really nice productquick delivery thanks filpkartread,1
nice shuttleread,1
horrible producteach shuttle didnt last even single dayextremely poor qualitypatheticread,0
quality low orginalread,0
worstread,0
difference online quality market quality local market product far better online productsread,0
dont worst productread,0
low quality bad quality read,0
product original cork used come within day use please dont buy shuttle original rather buy shop shop rate sameread,0
quality good earlier also manufactur date also long back earlier shuttlecock received max past month manufacturer also backread,0
genuine productread,0
waste productread,0
used shuttle item quality slow disappointed timeread,0
high priceread,0
bad bad compare ah year back coming mavis read,0
yonex mavis best among yonex shuttlecock playing one year price increasing unnecessarily r last yearread,1
bad product quality used shuttle day totally wastage money copied productread,0
shuttle heavier specification felt like playing cheap rip original mavis read,0
rd class quality want return time overread,0
worst shuttle ever shuttle started spinning shot even come gameread,0
certain cork damaged certain cork even came matchesread,0
bad quality read,0
expected qualityread,0
bad quality couldnt play hr shuttleread,0
durable poor qualityread,0
price littel bit highread,1
goodread,1
niceread,1
required oneread,1
product originalplease avoid online purchaseread,0
one shuttle damaged voblinglet know doread,0
good quality productread,1
good shuttle classic productread,1
got defective piecesread,0
bad packing unsatisfiedread,0
pro quality product yonexit original shuttle run long prompt delivery flipkart shuttle durableconsnoneread,1
good quality nice product thanks fpr fast deliveryread,1
nice cockeread,1
good qualityread,1
scratch code mentioned barrel verified yonex sunrise website mentioned product duplicateread,0
awsm read,1
reasonable priceread,1
excellent product original product received fast delivery second tough go itread,1
one best offer given flipkart best shuttle tournament training always use type shuttle play yonex mavis green thanks flipkart best deal always put type deal booked onlyread,1
good question lasting match purchase yonex mavis blue one little bit fast good smash lasting like green capread,1
mavis quite durable really good starter recommend mavis best practice sessionsread,1
received product committed time thanks flipkart mavis really awesome product doesnt matter whether beginner intermediate advanced level player mavis definitely perfectly work playing last yearsread,1
good nicely packed everyshuttle nice insude perfect flightread,1
got product earlier expected r th april sale box properly sealed feb packingimport date sure mrp way cheaper market price r per box also checked popular website one close flipkart point always use mavis green cap stability durability speed open court thanks flipkart hoping cheaper deal againread,1
best choice people want practice indoor outdoor badminton get financial obligation feather shuttle mavis hard find time savior always available yellow one bit better outdoor white fine indoors respective colour given backdrop flipkart offered best price almost season far longevity shuttle starkly less played outdoor dueread,1
long time got entire box genuine shuttle dynamic pricing strategy big everyday price cant go otherwise would happy buyread,1
good product n durable good enough speed slows little mid airread,1
shuttle imported february bought march last serial number revealed scratching sticker show item genuine start play yet item look good sturdy got think worth price also happy get item delivered quicklyread,1
best shuttlecock life far better li ning shuttle price range purchased r sale flight also better shuttlecocksread,1
good n nice balanced shuttle thanks retailnet n flipkart hope wel get convincing rate lowered oneread,1
shuttle best one excellent price doesnt matter read,1
quality badper day one cork finishedmay look like duplicate mavis corksi purchased many cork box sellersthat cork box come day playing box stay day understand delicate cork box isread,0
cost high hate productread,0
poor qualityinconsistent speedpoor flightread,0
yonex always best qualityread,1
worst shuttle doesnt last even day poor quality sure due stock issue copy product would never buy flipkartread,0
used product good economic use durable good balance long lasting even sustains wrong shot quiet economic compared feather shuttlesread,1
im happy product quality arrived actual delivery date given thanks flipkart quick delivery recommended everyone would like enjoy longer satisfied gamesread,1
amazing shuttlecockdurable best qualitygo itread,1
checked sunrisetntcom found genuineread,1
horrible st order received mavis sealed bill mavis thought mistake asked replacement replacement received box mavis sealed inside cheap shuttle local quality buy flipkartread,0
averageread,0
excellent synthetic shuttle yonex used well prefer yellow one visibility general quite durable long lasting one shuttle easily last half dozen dozen intense game flight becomes unacceptable found travel shorter distance therefore prefer themread,1
best shuttle available market used shuttle till aware better shuttlethe price got flipkart really best price researched checking online store sport shop definitely best price could findread,1
bad quality pirchase box fastread,0
best shuttle available online discription neededread,1
long lasting productnice productread,1
best shuttleread,1
good quality read,1
fabulous itemread,1
nice qualityvery good producti much thankful flipkart courier company delivering quicklyi happyand definitely tell friend order productread,1
feel quality far less compared previous set brought platform shuttle breaking wobbling per hr game session feeling cheatedread,0
original mavis read,1
bad quality poor quality playing ahuttles cap looseread,0
two shuttle durable read,1
poor quality horrible didnt play two game shuttleread,0
worst product every ball box got flat within one two stroke disappointed fact flipkart accepting replacement open box delivery without using product could know qualityread,0
best oneread,1
excellent productread,1
bad quality filpkartread,0
delicate productread,1
bad qualityread,0
dont good qualityread,0
quality shuttle per mavis standardsread,0
good product service goodread,1
nd qualityread,0
local productread,0
old stock last even gamesread,0
shuttle good view balanceread,0
okread,1
nice product suttles good read,1
nice productread,1
old one onlyread,0
super ballread,1
according cost average liferead,1
worstread,0
poor quality read,0
quality good broken matchread,0
nice product damage daysread,0
good worst product bought flipkartread,0
low quality durabalityread,1
badlyread,0
bad qualityread,0
bad product word describe write duplicate productread,0
time quality worstread,0
poor quality read,0
low bad quality product flipkart fooling everyoneread,1
shuttle duplicate markread,0
bad product ever receivedread,0
bad copy quality riceveread,0
waste moneyread,0
quality bad tired class shuttecockread,0
worstread,0
poor qualityread,0
reate wery muchread,0
worst shuttle ever used far dont buy product low qualityread,0
upto mark cork getting cracksread,0
poor quality lasting one set base breakinf top wornread,0
bad quality good dont like prefer beacuse delivery late comfortable change elf near product also deliver emergency thing dont order flipcart better go apps really bad service product quality also badread,0
goodread,1
good quality shuttlesread,1
im writing review rated star received duplicate productnow im rating star received original yonex mavis shuttlethank future hope receive original productsread,1
bad productedread,0
good productread,1
received counterfeit productread,1
u play hour daily shuttle would last maximum daysread,1
good productread,1
one day cap gaanread,1
goodread,1
superb price higher day day two week price gained rsread,1
good qualityread,1
costly lockdown phase previously o sometimes sometimes read,1
bestread,1
play every day play really hard court always best choiceread,1
item good buy originalread,1
excellent indoor courtread,1
genuine product nice packingread,1
good qualityread,1
nice thanks flipkartread,1
nice productread,1
gradual decrease quality less longevityread,1
nice productread,1
wow productread,1
box box bad shuttle shuttle box playableread,0
product shown pictureread,0
average goodread,1
realized buy shuttle online ever cheap duplicate product refund amount replacement product plz dont waste moneyread,0
shuttle okayishits movement air bit different mavis sread,0
found shuttle differentread,1
shuttle genuine conectarte qualityread,0
poor qualityread,0
ball waste rotate unable playread,1
poor quality shuttle standing daysread,0
original productread,1
shuttle goodread,0
good expectedread,1
goodread,1
yonex mavis pure item shuttle oldread,0
nice product suggest youplz buy product original productmade japan read,1
goodread,1
niceread,1
niceread,1
nice shuttle outdoorread,1
good productread,1
amazing cost amazing oneread,1
packing made flipkart absolutely perfect mavis pretty good think cost side get r play hard shuttlesread,1
good dilevary good productread,1
worthread,1
goodread,1
look like fake shuttle sold yonexread,0
worst product buy low qualityread,0
shuttle shapeless may mishandelrd transportationread,0
product goodread,0
day delivery something really frustrating even till didnt get product please work serviceread,0
bad qualityread,0
good productread,1
best quality shuttlesread,1
good quality value moneyread,1
goodread,1
worstread,0
badread,1
shuttle good playing last day shuttle still goodvalue moneythank u flipkartread,1
bad qualityread,0
quality good little bit fastread,0
excellent original buy local sport storesread,1
poor quality shuttle become broke within hour playing ie within dayread,0
shuttle worn really quickly quickly regular mavis tried verify authenticity product entering code onto website lo genuine productive attached picture reference developed hairline crack quickly half match shuttle qualityread,0
nice product best price superread,1
professional player played mavis green colour dont go product lighter slower green one new buyer go ahead buy doesnt matter speed slower green mavis read,1
optimum weight speed easy control shot easy court cover good learner even beginner base thermocol type material like yonex shurttles cork base doesnt get ruptured easily worth buyingread,1
suitable outdoorread,0
seems original lighter lasting hour playread,0
horrible shuttle ever playread,0
finally got orginal yonex mavis genuine piecethere many fake avilable marketso serious player buy wont regretread,1
one shuttle last hardly day less would suggest maker keep mind thing manufacturing price also high make either durable cheap user friendlyread,1
item received excellent condition within one day thanks team however one suggestion please dont send item big cardboard box actually wastage resourcesread,1
used box people say fake either never played mavis may received damaged box might disturbed flight shuttle play mavis day day absolutely original speed play well delhi heat degree order moreread,1
