ID,Gender,City,Education,Department,ExperienceLevel
1,Male,Delhi,Bachelors,IT,Beginner
2,Female,Mumbai,Masters,HR,Intermediate
3,Male,Pune,Bachelors,Finance,Advanced
4,Female,Delhi,PhD,IT,Expert
5,Male,Bangalore,Masters,Marketing,Intermediate
6,Female,Chennai,Bachelors,HR,Beginner
7,Male,Hyderabad,Masters,Finance,Advanced
8,Female,Pune,Bachelors,IT,Intermediate
9,Male,Mumbai,PhD,Marketing,Expert
10,Female,Bangalore,Masters,HR,Advanced
11,Male,Delhi,Bachelors,Finance,Beginner
12,Female,Chennai,Masters,IT,Intermediate
13,Male,Pune,PhD,HR,Expert
14,Female,Mumbai,Bachelors,Marketing,Beginner
15,Male,Bangalore,Masters,IT,Advanced
16,Female,Hyderabad,Bachelors,Finance,Intermediate
17,Male,Delhi,Masters,HR,Advanced
18,Female,Pune,PhD,IT,Expert
19,Male,Mumbai,Bachelors,Marketing,Beginner
20,Female,Chennai,Masters,Finance,Intermediate
