CarID,Brand,Model_Year,Fuel_Type,Transmission,Km_Driven,Mileage_kmpl,Engine_CC,Owners,Price_Lakhs
1,Honda,2016,Electric,Manual,19427,27.4,2530,0,16.62
2,Tata,2013,Petrol,Automatic,78566,15.5,2698,0,10.03
3,Maruti,2018,Petrol,Automatic,63850,25.0,873,3,22.22
4,Kia,2006,Petrol,Automatic,5482,19.1,2765,3,17.82
5,Kia,2019,CNG,Automatic,17940,10.3,1901,2,18.29
6,Toyota,2009,Petrol,Manual,187428,8.5,2766,3,19.08
7,Kia,2014,Petrol,Automatic,90713,19.7,867,1,17.34
8,Tata,2016,CNG,Manual,141306,12.4,2266,0,13.46
9,Tata,2005,CNG,Manual,55115,13.0,1999,2,10.89
10,Mahindra,2011,Diesel,Automatic,111427,19.6,2784,3,4.3
11,Mahindra,2024,CNG,Manual,25712,24.3,2217,0,20.52
12,Hyundai,2019,Diesel,Automatic,82935,22.8,2336,3,14.92
13,Hyundai,2013,Petrol,Automatic,48062,19.2,1098,2,22.4
14,Kia,2014,Diesel,Automatic,103195,21.7,1846,2,23.12
15,Toyota,2015,Diesel,Manual,59048,26.7,960,0,8.94
16,Kia,2015,Petrol,Automatic,37435,15.9,1305,0,2.3
17,Honda,2009,CNG,Manual,139626,26.2,1654,2,2.67
18,Toyota,2009,Electric,Manual,196137,17.6,2456,2,1.81
19,Tata,2024,Petrol,Manual,80615,20.5,1505,1,13.2
20,Mahindra,2011,Diesel,Manual,193486,18.5,2439,3,5.39
21,Mahindra,2019,Petrol,Automatic,109550,12.4,1404,1,22.84
22,Hyundai,2010,Diesel,Automatic,90817,25.7,1539,3,24.15
23,Kia,2020,CNG,Automatic,12242,28.3,2441,2,23.69
24,Honda,2016,Electric,Automatic,9527,23.5,2933,2,12.36
25,Maruti,2009,CNG,Manual,135436,16.9,1236,2,12.06
26,Tata,2006,Petrol,Manual,94559,25.2,1201,2,4.79
27,Kia,2014,Electric,Automatic,139910,14.3,2558,2,19.02
28,Honda,2021,Petrol,Manual,52729,16.8,1133,1,21.66
29,Mahindra,2013,Electric,Manual,23774,11.4,2930,2,15.0
30,Tata,2019,Electric,Manual,152559,25.5,2250,2,17.47
31,Hyundai,2019,CNG,Manual,47796,24.5,2270,2,18.6
32,Maruti,2010,CNG,Manual,182059,21.5,1117,3,15.67
33,Honda,2016,Petrol,Automatic,108769,27.7,938,1,15.7
34,Tata,2022,Petrol,Manual,78480,27.0,1472,2,22.13
35,Tata,2016,CNG,Manual,92349,15.3,2509,1,13.15
36,Maruti,2006,Petrol,Manual,148199,23.2,1612,2,15.42
37,Mahindra,2010,Petrol,Automatic,150014,20.5,1624,3,15.91
38,Mahindra,2014,Diesel,Manual,82605,23.6,1079,1,23.35
39,Hyundai,2022,Diesel,Manual,76734,24.3,2353,0,16.75
40,Tata,2024,Diesel,Manual,67905,13.1,1052,1,17.46
41,Kia,2018,Diesel,Automatic,150240,23.3,2532,3,24.08
42,Hyundai,2014,Petrol,Automatic,159623,18.6,2513,2,6.27
43,Hyundai,2005,Petrol,Automatic,82089,19.7,1025,2,18.55
44,Maruti,2024,Electric,Automatic,80693,16.9,874,0,21.81
45,Mahindra,2007,Electric,Manual,56294,29.5,2380,3,16.75
46,Honda,2008,Petrol,Manual,17844,23.0,814,1,19.1
47,Toyota,2006,Petrol,Manual,34510,26.4,1761,0,17.62
48,Toyota,2020,CNG,Manual,126809,10.6,2757,0,1.77
49,Toyota,2020,Petrol,Automatic,63087,27.7,1766,2,11.27
50,Hyundai,2010,CNG,Automatic,97815,12.1,1891,0,19.99
51,Honda,2022,CNG,Automatic,15404,21.8,2515,0,24.33
52,Hyundai,2011,Electric,Automatic,112629,21.3,835,2,5.49
53,Maruti,2006,Petrol,Automatic,31078,15.5,1214,0,16.6
54,Hyundai,2008,CNG,Manual,35924,21.5,2881,0,21.9
55,Tata,2012,Diesel,Manual,158824,8.0,1977,2,23.77
56,Maruti,2022,Diesel,Automatic,123910,17.1,2751,2,11.47
57,Hyundai,2007,Petrol,Manual,77202,20.7,1855,1,10.6
58,Hyundai,2007,Electric,Automatic,58428,23.8,1721,0,18.75
59,Honda,2022,Petrol,Manual,154725,17.3,1800,1,12.87
60,Tata,2024,Electric,Automatic,123888,15.0,1658,1,10.44
61,Tata,2017,Diesel,Automatic,184686,10.0,2436,1,20.49
62,Kia,2012,Diesel,Manual,188934,17.8,2210,2,9.64
63,Hyundai,2010,Electric,Manual,145568,15.7,2659,0,24.07
64,Tata,2023,Petrol,Automatic,190043,17.6,2111,1,1.69
65,Kia,2019,Electric,Manual,36986,20.1,2950,2,16.87
66,Toyota,2020,Electric,Manual,10515,26.1,1452,3,15.03
67,Maruti,2024,Electric,Manual,30985,25.2,2989,2,4.29
68,Hyundai,2023,CNG,Automatic,11026,26.9,899,3,23.34
69,Hyundai,2011,Electric,Automatic,60342,21.5,2269,1,14.42
70,Tata,2021,Diesel,Automatic,156129,11.6,1802,1,17.68
71,Tata,2023,Petrol,Manual,99052,14.0,2460,1,4.88
72,Kia,2022,Petrol,Manual,9934,29.4,2316,1,22.0
73,Mahindra,2007,Electric,Manual,187139,23.0,2917,0,16.2
74,Tata,2016,Diesel,Automatic,161942,24.0,2363,0,9.53
75,Hyundai,2013,Petrol,Automatic,63055,27.8,1179,1,17.08
76,Tata,2008,Diesel,Manual,24179,14.8,1244,0,16.3
77,Mahindra,2022,Electric,Automatic,198195,26.9,2893,3,5.99
78,Hyundai,2007,Petrol,Automatic,88303,25.5,2618,0,8.24
79,Tata,2008,CNG,Manual,160228,18.2,1341,2,2.17
80,Honda,2012,Electric,Manual,108359,11.7,2555,0,9.94
81,Hyundai,2016,Diesel,Automatic,99784,10.4,1943,1,8.65
82,Hyundai,2013,Petrol,Automatic,182871,19.9,2276,0,1.63
83,Mahindra,2010,Electric,Automatic,126338,12.4,2380,2,10.1
84,Kia,2019,Electric,Automatic,26596,15.1,2512,2,22.59
85,Toyota,2023,Petrol,Manual,188935,10.5,1382,1,8.16
86,Maruti,2010,CNG,Automatic,40876,10.4,1823,0,14.06
87,Maruti,2022,Petrol,Manual,40568,12.4,1889,3,1.63
88,Kia,2006,Petrol,Automatic,188288,9.9,2192,3,5.59
89,Hyundai,2020,Electric,Manual,86428,26.8,2735,2,2.81
90,Kia,2011,CNG,Automatic,67681,14.1,1265,1,18.26
91,Maruti,2023,Petrol,Automatic,102291,15.4,1215,0,16.88
92,Toyota,2006,Diesel,Manual,5795,17.7,1120,2,4.39
93,Toyota,2015,CNG,Automatic,64790,20.7,2120,3,11.0
94,Maruti,2007,Diesel,Manual,93560,24.6,931,0,16.06
95,Kia,2023,Petrol,Manual,166215,14.0,1285,0,7.06
96,Toyota,2006,Electric,Automatic,196620,15.3,2875,1,10.63
97,Toyota,2022,Diesel,Automatic,32894,10.0,937,2,5.42
98,Hyundai,2024,CNG,Automatic,55161,9.7,811,3,19.32
99,Mahindra,2018,Petrol,Automatic,161339,17.3,2467,3,22.81
100,Tata,2020,CNG,Manual,101227,10.6,2623,2,13.2
101,Toyota,2021,Petrol,Manual,82977,19.4,2653,2,22.78
102,Honda,2020,Petrol,Automatic,180045,9.0,1572,0,12.43
103,Mahindra,2020,Diesel,Manual,6325,16.3,2953,2,19.53
104,Tata,2009,CNG,Automatic,147239,21.4,1369,0,14.99
105,Toyota,2015,Electric,Automatic,36253,15.2,2259,2,19.78
106,Tata,2022,CNG,Automatic,109991,27.6,1785,0,16.22
107,Kia,2015,Electric,Automatic,75033,18.5,1265,2,12.11
108,Kia,2010,Diesel,Automatic,112910,22.1,1307,2,4.08
109,Tata,2010,Electric,Manual,102545,20.7,976,0,6.69
110,Kia,2008,CNG,Manual,144537,18.7,1138,3,4.97
111,Kia,2014,Diesel,Manual,152600,23.7,2637,2,8.76
112,Kia,2006,Petrol,Automatic,38564,12.2,1795,2,17.73
113,Mahindra,2012,CNG,Manual,126242,21.4,2063,2,6.12
114,Tata,2008,Electric,Manual,12232,22.2,1503,0,16.44
115,Maruti,2023,CNG,Automatic,17860,10.1,2377,3,16.35
116,Tata,2022,Electric,Manual,159449,24.8,1358,1,21.96
117,Hyundai,2015,CNG,Automatic,81049,20.6,2826,1,14.67
118,Hyundai,2021,Petrol,Manual,158517,21.5,2570,1,8.96
119,Mahindra,2018,Petrol,Manual,114224,18.8,1333,1,23.02
120,Tata,2017,Petrol,Automatic,67740,28.0,1727,0,3.24
121,Tata,2005,Diesel,Automatic,19551,15.1,2913,0,9.13
122,Tata,2011,Petrol,Automatic,188529,19.9,2998,2,14.17
123,Toyota,2020,Diesel,Automatic,157510,22.2,2401,3,21.41
124,Hyundai,2010,CNG,Automatic,141147,19.2,823,1,7.51
125,Kia,2013,Electric,Automatic,70198,25.6,2508,1,8.96
126,Kia,2018,Electric,Manual,167099,23.3,1581,1,17.43
127,Honda,2013,Diesel,Automatic,114966,27.0,1335,0,19.87
128,Hyundai,2013,Electric,Manual,126141,29.4,2037,0,22.19
129,Mahindra,2006,Electric,Manual,18807,25.2,2281,2,3.29
130,Honda,2020,Diesel,Automatic,116640,23.2,2828,3,3.48
131,Mahindra,2018,Electric,Manual,52535,22.8,905,3,12.15
132,Kia,2009,Diesel,Automatic,121544,13.5,2760,0,8.74
133,Kia,2017,CNG,Automatic,47626,15.4,2811,0,22.61
134,Honda,2019,Diesel,Manual,154701,9.4,1316,1,19.64
135,Honda,2013,CNG,Automatic,98532,9.4,1296,0,7.35
136,Hyundai,2022,Electric,Manual,89851,21.8,1543,0,2.61
137,Maruti,2010,CNG,Manual,117341,11.9,1029,2,22.44
138,Mahindra,2019,Petrol,Manual,199469,25.5,2689,2,3.78
139,Toyota,2011,Electric,Automatic,74218,8.8,2587,2,15.55
140,Tata,2017,Petrol,Manual,129164,20.1,856,0,13.78
141,Honda,2010,Electric,Manual,67911,18.7,2796,3,14.09
142,Hyundai,2012,Diesel,Automatic,45245,9.4,2475,0,22.8
143,Mahindra,2007,CNG,Manual,181450,16.7,2390,2,17.67
144,Tata,2006,Diesel,Manual,16561,22.4,912,3,12.99
145,Tata,2022,Electric,Automatic,185428,12.1,1092,2,1.72
146,Kia,2014,Electric,Automatic,198355,28.5,1161,2,15.63
147,Tata,2009,Petrol,Manual,88655,10.0,2463,1,19.16
148,Mahindra,2021,Diesel,Automatic,27133,8.4,854,2,8.5
