Date,State,Daily_Cases,Daily_Deaths,Daily_Vaccinations
2022-01-01,Maharashtra,4800,18,150000
2022-01-01,Delhi,2200,7,90000
2022-01-01,Gujarat,1300,4,70000
2022-01-01,Karnataka,2600,9,110000
2022-01-01,Rajasthan,900,2,65000
2022-01-02,Maharashtra,5200,22,155000
2022-01-02,Delhi,2500,6,92000
2022-01-02,Gujarat,1500,3,73000
2022-01-02,Karnataka,2800,11,112000
2022-01-02,Rajasthan,1000,3,68000
2022-01-03,Maharashtra,6400,25,158000
2022-01-03,Delhi,3100,9,94500
2022-01-03,Gujarat,1800,4,76000
2022-01-03,Karnataka,3400,12,115000
2022-01-03,Rajasthan,1400,5,70000
2022-01-04,Maharashtra,7000,28,160000
2022-01-04,Delhi,3500,11,96000
2022-01-04,Gujarat,2000,5,77000
2022-01-04,Karnataka,3800,13,118000
2022-01-04,Rajasthan,1600,6,71000
