Ride_Distance,V_TAT,C_TAT,Booking_Value
2.5,5,7,120
3.1,6,8,150
4.0,7,9,180
5.2,8,10,220
6.0,9,11,260
7.5,10,12,300
8.0,11,13,330
9.2,12,14,360
10.0,13,15,400
11.5,14,16,450
12.0,15,17,480
13.3,16,18,520
14.0,17,19,560
15.6,18,20,600
16.0,19,21,640
17.8,20,22,680
18.0,21,23,720
19.5,22,24,760
20.0,23,25,800
21.2,24,26,840
22.0,25,27,880
23.7,26,28,920
24.0,27,29,960
25.4,28,30,1000
26.0,29,31,1040
27.6,30,32,1080
28.0,31,33,1120
29.9,32,34,1160
30.0,33,35,1200
31.5,34,36,1240
32.0,35,37,1280
33.8,36,38,1320
34.0,37,39,1360
35.4,38,40,1400
36.0,39,41,1440
37.9,40,42,1480
38.0,41,43,1520
39.6,42,44,1560
40.0,43,45,1600
41.5,44,46,1640
42.0,45,47,1680
43.7,46,48,1720
44.0,47,49,1760
45.6,48,50,1800
46.0,49,51,1840
47.8,50,52,1880
