ShowID,Title,Type,Director,Actor,Genre,Release_Year,Duration
1,Extraction,Movie,Sam Hargrave,Chris Hemsworth,Action,2020,117
2,Sacred Games,TV Show,Anurag Kashyap,Nawazuddin Siddiqui,Crime,2018,16
3,The Irishman,Movie,Martin Scorsese,Robert De Niro,Drama,2019,209
4,Stranger Things,TV Show,The Duffer Brothers,Millie Bobby Brown,Sci-Fi,2016,34
5,Ludo,Movie,Anurag Basu,Abhishek Bachchan,Comedy,2020,150
6,Money Heist,TV Show,Álex Pina,Úrsula Corberó,Thriller,2017,41
7,Bird Box,Movie,Susanne Bier,Sandra Bullock,Horror,2018,124
8,Article 15,Movie,Anubhav Sinha,Ayushmann Khurrana,Crime,2019,130
9,Dark,TV Show,Baran bo Odar,Louis Hofmann,Sci-Fi,2017,26
10,Dangal,Movie,Nitesh Tiwari,Aamir Khan,Biography,2016,161
