Student_ID,gender,Study_Time_Hours,Attendance_Percent,math_score,reading_score,writing_score
1,Male,2,85,65,60,58
2,Female,4,92,78,82,80
3,Male,1,70,55,50,52
4,Female,3,88,72,75,74
5,Male,5,95,88,85,90
6,Female,2,80,68,70,72
7,Male,3,90,75,73,70
8,Female,4,93,85,88,86
9,Male,1,65,50,48,45
10,Female,5,96,90,92,94
11,Male,2,78,62,65,60
12,Female,3,85,70,74,76
13,Male,4,91,82,80,78
14,Female,1,68,55,58,60
15,Male,5,97,92,90,88
16,Female,2,82,66,68,70
17,Male,3,89,74,72,73
18,Female,4,94,86,89,87
19,Male,1,60,48,45,42
20,Female,5,98,94,95,96
